time,entry,exit,return,pnl_pct,win,prob,zscore,kelly_size
2021-07-01 01:00:00-05:00,33511.24,33348.3,-0.0048622492035506615,-0.003,False,0.5927533446893765,2.4813707781196506,0.04
2021-07-01 02:00:00-05:00,33348.3,33475.72,-0.0048622492035506615,0.0048622492035506615,True,0.6170340515158924,2.4813707781196506,0.04
2021-07-01 06:00:00-05:00,33717.52,33655.24,-0.0018471109381709818,-0.0018471109381709818,False,0.7167604114210401,2.4813707781196506,0.04
2021-07-01 08:00:00-05:00,33401.45,33206.48,0.0015937843908083523,-0.0015937843908083523,False,0.5643947740908329,2.4813707781196506,0.04
2021-07-01 09:00:00-05:00,33206.48,33432.54,-0.005837171739550047,0.005837171739550047,True,0.5537106663003452,2.4813707781196506,0.04
2021-07-01 12:00:00-05:00,33490.0,33325.5,-0.004911914004180352,-0.003,False,0.7001666070665878,2.4813707781196506,0.04
2021-07-01 15:00:00-05:00,33412.79,33503.34,0.006212943979608729,0.006212943979608729,True,0.8183714524533626,2.4813707781196506,0.04
2021-07-01 18:00:00-05:00,33504.69,33774.68,0.008058274826598842,0.008,True,0.6293186934039645,2.4813707781196506,0.04
2021-07-02 01:00:00-05:00,32957.53,33358.26,-0.013625321321565844,0.008,True,0.6798957427488137,1.871447451993191,0.04
2021-07-02 06:00:00-05:00,33023.01,33238.22,0.006516971045340782,0.006516971045340782,True,0.5822994647656877,1.871447451993191,0.04
2021-07-02 07:00:00-05:00,33238.22,33480.01,0.007274456935419552,0.007274456935419552,True,0.6026051283083246,1.871447451993191,0.04
2021-07-02 13:00:00-05:00,33290.01,33327.71,0.001132471873694153,0.001132471873694153,True,0.6996078985901056,1.871447451993191,0.04
2021-07-02 15:00:00-05:00,33133.21,33452.22,0.005330496551167527,0.005330496551167527,True,0.6318754654768438,1.871447451993191,0.04
2021-07-02 16:00:00-05:00,33452.22,33703.04,0.0074978581391608595,0.0074978581391608595,True,0.8464926500052162,1.871447451993191,0.04
2021-07-02 19:00:00-05:00,33526.82,33674.52,0.004405428251173153,0.004405428251173153,True,0.6805442949477734,1.871447451993191,0.04
2021-07-02 20:00:00-05:00,33674.52,33526.09,-0.004407783689270116,-0.003,False,0.5997837598746313,1.871447451993191,0.04
2021-07-02 23:00:00-05:00,33665.52,33707.99,0.0012615281154130745,0.0012615281154130745,True,0.5842424362973341,1.871447451993191,0.04
2021-07-03 01:00:00-05:00,33682.16,34499.54,0.024267446030777042,0.008,True,0.5666732506661379,0.7964562008412605,0.04
2021-07-03 07:00:00-05:00,34543.97,34706.3,0.004699228258940757,0.004699228258940757,True,0.6120230334955051,0.7964562008412605,0.04
2021-07-03 11:00:00-05:00,34533.81,34764.74,0.0066870698599430616,0.0066870698599430616,True,0.5502739802731795,0.7964562008412605,0.04
2021-07-03 12:00:00-05:00,34764.74,34645.85,-0.00341984435954359,-0.003,False,0.5795438600108467,0.7964562008412605,0.04
